experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T11:53:13.408Z,29.89,2025-09-19 13:53:13.408,12.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T11:56:33.408Z,30.01,2025-09-19 13:56:33.408,12.6225
Long Yeast Grow,pioreactor02,2025-09-19T11:59:53.408Z,29.96,2025-09-19 13:59:53.408,12.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T12:03:13.409Z,29.95,2025-09-19 14:03:13.409,12.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T12:06:33.406Z,29.95,2025-09-19 14:06:33.406,12.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T12:09:53.405Z,29.94,2025-09-19 14:09:53.405,12.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T12:13:13.407Z,30.05,2025-09-19 14:13:13.407,12.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T12:16:33.407Z,29.99,2025-09-19 14:16:33.407,12.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T12:19:53.408Z,30.18,2025-09-19 14:19:53.408,13.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T12:23:13.408Z,29.94,2025-09-19 14:23:13.408,13.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T12:26:33.407Z,30.05,2025-09-19 14:26:33.407,13.1225
Long Yeast Grow,pioreactor02,2025-09-19T12:29:53.407Z,30.02,2025-09-19 14:29:53.407,13.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T12:33:13.409Z,30.07,2025-09-19 14:33:13.409,13.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T12:36:33.409Z,30.02,2025-09-19 14:36:33.409,13.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T12:39:53.407Z,29.87,2025-09-19 14:39:53.407,13.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T12:43:13.408Z,29.93,2025-09-19 14:43:13.408,13.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T12:46:33.407Z,30.1,2025-09-19 14:46:33.407,13.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T12:49:53.408Z,29.92,2025-09-19 14:49:53.408,13.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T12:53:13.409Z,30.08,2025-09-19 14:53:13.409,13.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T12:56:33.407Z,29.86,2025-09-19 14:56:33.407,13.6225
Long Yeast Grow,pioreactor02,2025-09-19T12:59:53.407Z,29.85,2025-09-19 14:59:53.407,13.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T13:03:13.409Z,29.98,2025-09-19 15:03:13.409,13.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T13:06:33.407Z,30.08,2025-09-19 15:06:33.407,13.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T13:09:53.408Z,29.94,2025-09-19 15:09:53.408,13.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T13:13:13.408Z,30.0,2025-09-19 15:13:13.408,13.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T13:16:33.408Z,30.07,2025-09-19 15:16:33.408,13.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T13:19:53.406Z,29.98,2025-09-19 15:19:53.406,14.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T13:23:13.409Z,29.98,2025-09-19 15:23:13.409,14.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T13:26:33.408Z,29.88,2025-09-19 15:26:33.408,14.1225
Long Yeast Grow,pioreactor02,2025-09-19T13:29:53.409Z,29.99,2025-09-19 15:29:53.409,14.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T13:33:13.408Z,30.02,2025-09-19 15:33:13.408,14.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T13:36:33.408Z,29.81,2025-09-19 15:36:33.408,14.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T13:39:53.407Z,29.92,2025-09-19 15:39:53.407,14.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T13:43:13.407Z,30.14,2025-09-19 15:43:13.407,14.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T13:46:33.409Z,30.07,2025-09-19 15:46:33.409,14.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T13:49:53.408Z,30.19,2025-09-19 15:49:53.408,14.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T13:53:13.409Z,30.03,2025-09-19 15:53:13.409,14.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T13:56:33.408Z,30.02,2025-09-19 15:56:33.408,14.6225
Long Yeast Grow,pioreactor02,2025-09-19T13:59:53.407Z,29.98,2025-09-19 15:59:53.407,14.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T14:03:13.408Z,29.88,2025-09-19 16:03:13.408,14.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T14:06:33.408Z,29.72,2025-09-19 16:06:33.408,14.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T14:09:53.406Z,29.93,2025-09-19 16:09:53.406,14.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T14:13:13.409Z,30.07,2025-09-19 16:13:13.409,14.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T14:16:33.408Z,30.04,2025-09-19 16:16:33.408,14.955833333333
